"#","Latin Input","Devanagari Target","Devanagari Predicted","Correct"
"13","angrzi","अंग्रज़ी","अंगर्री","❌"
"14","antah","अंतः","अंथा","❌"
"15","antaha","अंतः","अंथा","❌"
"16","antarmukh","अंतर्मुख","अंत्रमुख","❌"
"17","antmurkh","अंतर्मुख","अंतमक्र","❌"
"18","antrmukh","अंतर्मुख","अंत्रमुख","❌"
"19","andrabee","अंद्राबी","अंदरबे","❌"
"20","andrabi","अंद्राबी","अंदरबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधेरी","✅"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अमबनी","❌"
"26","akram","अकरम","अकरम","✅"
"27","acapulco","अकापुल्को","आकास्कलो","❌"
"28","akapulko","अकापुल्को","आकाक्लुकों","❌"
"29","akhand","अखंड","आखंड","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","आगवाई","❌"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","ऑगुस्टिनि","❌"
"34","augustustine","अगस्टाइन","जौगुस्टिसिन","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अजुस्ता","❌"
"37","augusta","अगस्ता","औजूस्ता","❌"
"38","agr","अग्र","अग्रह","❌"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","आचाबभा","❌"
"41","achanbha","अचंभा","आचंभा","❌"
"42","achievement","अचीवमेंट","अहिवेंट्व","❌"
"43","achivement","अचीवमेंट","अचिविंटं","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","आच्छी","❌"
"46","achhi","अच्छी","अच्छय","❌"
"47","achyut","अच्युत","अच्युत","✅"
"48","achhanera","अछनेरा","अचनेरा","❌"
"49","achnera","अछनेरा","अंचनरा","❌"
"50","ajmeedh","अजमीढ़","अजीमधध","❌"
"51","ajhar","अजहर","अजहर","✅"
"52","azhar","अजहर","अजहर","✅"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अगनत","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञत","❌"
"57","atakta","अटकता","अतकतता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","एटके","❌"
"60","atke","अटके","एटके","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवल","❌"
"63","attahasa","अट्टहास","अत्थासा","❌"
"64","atthaas","अट्टहास","आत्थास","❌"
"65","atthas","अट्टहास","आत्षा","❌"
"66","addon","अड्डों","अड्डों","✅"
"67","athak","अथक","अठक","❌"
"68","atharv","अथर्व","अठर्व","❌"
"69","atharva","अथर्व","अठर्वा","❌"
"70","adad","अदद","आदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवात","❌"
"74","adwait","अद्वैत","अदवात","❌"
"75","advaitvaad","अद्वैतवाद","अद्ववितावाद","❌"
"76","advaitwad","अद्वैतवाद","अदववित्वाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अदिववास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अनिकत","❌"
"4","anakon","अंकों","अनाकों","❌"
"5","ankhon","अंकों","आंखों","❌"
"6","ankon","अंकों","अनकों","❌"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अनकोर","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंगराजी","❌"
"12","angreji","अंग्रज़ी","अंगरेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्री","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतररूमक","❌"
"17","antmurkh","अंतर्मुख","अंत्मूर्क","❌"
"18","antrmukh","अंतर्मुख","अंत्रमूक","❌"
"19","andrabee","अंद्राबी","अंदरबा","❌"
"20","andrabi","अंद्राबी","अंदरबाी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापा","❌"
"23","andheri","अंधेरी","अंधेरी","✅"
"24","ambaani","अंबानी","अंबानी","✅"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अकर्म","❌"
"27","acapulco","अकापुल्को","अकपपुक","❌"
"28","akapulko","अकापुल्को","आकपपुकों","❌"
"29","akhand","अखंड","आखंड","❌"
"30","akhil","अखिल","अखिलल","❌"
"31","agavai","अगवाई","अगावाई","❌"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","ऑशुस्टेन","❌"
"34","augustustine","अगस्टाइन","ऑशुस्टेस्टे","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","अशुस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अच्मभा","❌"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अच्येमिवें","❌"
"43","achivement","अचीवमेंट","अच्विमेंट","❌"
"44","acchi","अच्छी","अक्ची","❌"
"45","achchi","अच्छी","अच्ची","❌"
"46","achhi","अच्छी","अच्छी","✅"
"47","achyut","अच्युत","अच्यूत","❌"
"48","achhanera","अछनेरा","अच्छेनार","❌"
"49","achnera","अछनेरा","अच्नेरा","❌"
"50","ajmeedh","अजमीढ़","अजमीद","❌"
"51","ajhar","अजहर","अधार","❌"
"52","azhar","अजहर","अधार","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अगना","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अतकाता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","अतके","❌"
"60","atke","अटके","अटके","✅"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अत्वल","❌"
"63","attahasa","अट्टहास","आत्थासा","❌"
"64","atthaas","अट्टहास","अत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","अद्दों","❌"
"67","athak","अथक","अठक","❌"
"68","atharv","अथर्व","अथररव","❌"
"69","atharva","अथर्व","अथरावा","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","आदानी","❌"
"72","adani","अदाणी","आदानी","❌"
"73","advait","अद्वैत","अद्वात","❌"
"74","adwait","अद्वैत","अदवात","❌"
"75","advaitvaad","अद्वैतवाद","अध्ववावा","❌"
"76","advaitwad","अद्वैतवाद","अध्ववावात","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अदवविसा","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगोकर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगारक","✅"
"11","angraji","अंग्रज़ी","अंगरजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंता","❌"
"16","antarmukh","अंतर्मुख","अन्रमुच्क","❌"
"17","antmurkh","अंतर्मुख","अंम्मुक्क","❌"
"18","antrmukh","अंतर्मुख","अंत्रमुख","❌"
"19","andrabee","अंद्राबी","अंदरबेज","❌"
"20","andrabi","अंद्राबी","अंद्बाबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधीरी","❌"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अमबानी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","अकालूप","❌"
"28","akapulko","अकापुल्को","अकापुकु","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","गौुस्ेन","❌"
"34","augustustine","अगस्टाइन","गौट्सुस्टिन","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अगुसता","❌"
"37","augusta","अगस्ता","गुुस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अछंभा","❌"
"41","achanbha","अचंभा","अछंभा","❌"
"42","achievement","अचीवमेंट","अमिमेमेंट","❌"
"43","achivement","अचीवमेंट","अमिमेवेंट","❌"
"44","acchi","अच्छी","आच्ची","❌"
"45","achchi","अच्छी","अच्ची","❌"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अच्युत","✅"
"48","achhanera","अछनेरा","अचानेरा","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अजमेद","❌"
"51","ajhar","अजहर","अधार","❌"
"52","azhar","अजहर","अधार","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अगनात","❌"
"55","agyaat","अज्ञात","अग्यात","❌"
"56","agyat","अज्ञात","अग्यत","❌"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","अताके","❌"
"60","atke","अटके","अटके","✅"
"61","atwaal","अटवाल","अत्वाल","❌"
"62","atwal","अटवाल","अत्वाल","❌"
"63","attahasa","अट्टहास","अत्ताशा","❌"
"64","atthaas","अट्टहास","अठ्तास","❌"
"65","atthas","अट्टहास","अठ्तास","❌"
"66","addon","अड्डों","अड़ों","❌"
"67","athak","अथक","अठाक","❌"
"68","atharv","अथर्व","अठार्व","❌"
"69","atharva","अथर्व","अठर्व","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अद्वात","❌"
"74","adwait","अद्वैत","अद्वात","❌"
"75","advaitvaad","अद्वैतवाद","अद्वावादा","❌"
"76","advaitwad","अद्वैतवाद","अद्वाद्वाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अद्विसव","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","आंक","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनोकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अनकों","❌"
"7","angkor","अंकोर","अंग्कर","❌"
"8","ankor","अंकोर","अनकोर","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगराक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतराकुम","❌"
"17","antmurkh","अंतर्मुख","अंतर्कुम","❌"
"18","antrmukh","अंतर्मुख","अंत्रुमक","❌"
"19","andrabee","अंद्राबी","अंडरबे","❌"
"20","andrabi","अंद्राबी","अंद्रबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अंबानी","✅"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अकर्म","❌"
"27","acapulco","अकापुल्को","अकुप्लो","❌"
"28","akapulko","अकापुल्को","पकपूलोक","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","फहिल","❌"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","उगूस्टिन","❌"
"34","augustustine","अगस्टाइन","उगुस्त्सों","❌"
"35","agsta","अगस्ता","अग्स्ता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","अगुस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचिमेवेंट","❌"
"43","achivement","अचीवमेंट","अचिवेमेंट","❌"
"44","acchi","अच्छी","अची","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अची","❌"
"47","achyut","अच्युत","अच्यूत","❌"
"48","achhanera","अछनेरा","अछानेरा","❌"
"49","achnera","अछनेरा","अनचेरा","❌"
"50","ajmeedh","अजमीढ़","अजमिध","❌"
"51","ajhar","अजहर","झार","❌"
"52","azhar","अजहर","झहर","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अज्यात","❌"
"56","agyat","अज्ञात","अज्ञत","❌"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","आटके","❌"
"60","atke","अटके","आटके","❌"
"61","atwaal","अटवाल","अत्वाल","❌"
"62","atwal","अटवाल","अत्वल","❌"
"63","attahasa","अट्टहास","अत्ताभा","❌"
"64","atthaas","अट्टहास","अत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","अद्दों","❌"
"67","athak","अथक","अठक","❌"
"68","atharv","अथर्व","अठर्व","❌"
"69","atharva","अथर्व","अठरवा","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवातत","❌"
"74","adwait","अद्वैत","अदवातत","❌"
"75","advaitvaad","अद्वैतवाद","अद्ववाद्त","❌"
"76","advaitwad","अद्वैतवाद","अद्ववादत","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अदविवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","एंक","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","एंकित","❌"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","एंकों","❌"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","एंकर","❌"
"9","angaarak","अंगारक","अंगार","❌"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंगरजी","❌"
"12","angreji","अंग्रज़ी","अंगरेजी","❌"
"13","angrzi","अंग्रज़ी","अंगरजी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंता","❌"
"16","antarmukh","अंतर्मुख","अंतर्त","❌"
"17","antmurkh","अंतर्मुख","अंतुर्थ","❌"
"18","antrmukh","अंतर्मुख","अंतृत्थ","❌"
"19","andrabee","अंद्राबी","अंडरबाी","❌"
"20","andrabi","अंद्राबी","अंदरबबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधनप","❌"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अमबानी","❌"
"26","akram","अकरम","अकरम","✅"
"27","acapulco","अकापुल्को","एकाउमको","❌"
"28","akapulko","अकापुल्को","अकाक्मको","❌"
"29","akhand","अखंड","अखंद","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","उजस्टिन","❌"
"34","augustustine","अगस्टाइन","उजस्तुस्तिन","❌"
"35","agsta","अगस्ता","अग्टा","❌"
"36","agusta","अगस्ता","अगुसता","❌"
"37","augusta","अगस्ता","उजस्ता","❌"
"38","agr","अग्र","अगर","❌"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचीवेवेंट","❌"
"43","achivement","अचीवमेंट","अचीवेंटे","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अची","❌"
"47","achyut","अच्युत","अच्युत","✅"
"48","achhanera","अछनेरा","अचनेहार","❌"
"49","achnera","अछनेरा","अचनरा","❌"
"50","ajmeedh","अजमीढ़","अज्मीध","❌"
"51","ajhar","अजहर","अजर","❌"
"52","azhar","अजहर","अजर","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अगनत","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञत","❌"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अत्का","❌"
"59","atake","अटके","अतके","❌"
"60","atke","अटके","अटके","✅"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवल","❌"
"63","attahasa","अट्टहास","अत्ताशा","❌"
"64","atthaas","अट्टहास","अत्ा","❌"
"65","atthas","अट्टहास","अत््च","❌"
"66","addon","अड्डों","अड़ों","❌"
"67","athak","अथक","अथक","✅"
"68","atharv","अथर्व","अथरव","❌"
"69","atharva","अथर्व","अथ्रवा","❌"
"70","adad","अदद","आदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदनी","❌"
"73","advait","अद्वैत","अडवेत","❌"
"74","adwait","अद्वैत","अडवेत","❌"
"75","advaitvaad","अद्वैतवाद","अववववदाद","❌"
"76","advaitwad","अद्वैतवाद","अववववद्त","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अदिववस","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकीत","❌"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगरकक","❌"
"11","angraji","अंग्रज़ी","अंगराजी","❌"
"12","angreji","अंग्रज़ी","अंगरेजी","❌"
"13","angrzi","अंग्रज़ी","अंगर्जी","❌"
"14","antah","अंतः","अंताह","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतरुमुख","❌"
"17","antmurkh","अंतर्मुख","अंत्रुखू","❌"
"18","antrmukh","अंतर्मुख","अंतृमुख","❌"
"19","andrabee","अंद्राबी","अंब्रदे","❌"
"20","andrabi","अंद्राबी","अंबरादी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अआधपनान","❌"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अमबनी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","एपॉल्क्स","❌"
"28","akapulko","अकापुल्को","अपोलकोप","❌"
"29","akhand","अखंड","अखंद","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","ऑस्टोनी","❌"
"34","augustustine","अगस्टाइन","ऑस्टुस्टेजन","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अगुसता","❌"
"37","augusta","अगस्ता","आस्गता","❌"
"38","agr","अग्र","एगर","❌"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अछंभाा","❌"
"41","achanbha","अचंभा","अछंभाा","❌"
"42","achievement","अचीवमेंट","अकिहेंदें","❌"
"43","achivement","अचीवमेंट","अकिंहेंटें","❌"
"44","acchi","अच्छी","एच्छी","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछीी","❌"
"47","achyut","अच्युत","अछ्युत","❌"
"48","achhanera","अछनेरा","अखनहरारा","❌"
"49","achnera","अछनेरा","अंचनरा","❌"
"50","ajmeedh","अजमीढ़","अजमीध","❌"
"51","ajhar","अजहर","अजार","❌"
"52","azhar","अजहर","अजार","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अज्यात","❌"
"56","agyat","अज्ञात","अज्यत","❌"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","आतके","❌"
"60","atke","अटके","एटके","❌"
"61","atwaal","अटवाल","अत्वाल","❌"
"62","atwal","अटवाल","अत्वलल","❌"
"63","attahasa","अट्टहास","अत्थासा","❌"
"64","atthaas","अट्टहास","अत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","अद्डों","❌"
"67","athak","अथक","आठक","❌"
"68","atharv","अथर्व","अठरव","❌"
"69","atharva","अथर्व","अठरवा","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदनी","❌"
"73","advait","अद्वैत","अद्वित","❌"
"74","adwait","अद्वैत","अद्वेत","❌"
"75","advaitvaad","अद्वैतवाद","अद्वेतवावाद","❌"
"76","advaitwad","अद्वैतवाद","अद्वेतवाव","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अदविवास","❌"
"80","adhiik","अधीक","अधिकिक","❌"
"1","ank","अंक","एनकी","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अनकों","❌"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अनकोर","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्री","❌"
"14","antah","अंतः","अंतह","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंत्रामुख","❌"
"17","antmurkh","अंतर्मुख","अंत्मक्र","❌"
"18","antrmukh","अंतर्मुख","अंत्रमक्ख","❌"
"19","andrabee","अंद्राबी","अंदरबा","❌"
"20","andrabi","अंद्राबी","अंदरबा","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अमबनी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","आसूपकोलो","❌"
"28","akapulko","अकापुल्को","अकुपकोलो","❌"
"29","akhand","अखंड","आखंड","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगावाई","❌"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","आगस्सितें","❌"
"34","augustustine","अगस्टाइन","आगस्स्टिसन","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","आगुस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अशिवेंतत","❌"
"43","achivement","अचीवमेंट","अशिवेंत","❌"
"44","acchi","अच्छी","अच्ची","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अश्युत","❌"
"48","achhanera","अछनेरा","अचनेरा","❌"
"49","achnera","अछनेरा","अच्नेरा","❌"
"50","ajmeedh","अजमीढ़","अजमीध","❌"
"51","ajhar","अजहर","अझार","❌"
"52","azhar","अजहर","अझार","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अग्यत","❌"
"56","agyat","अज्ञात","अग्यत","❌"
"57","atakta","अटकता","अतक्ता","❌"
"58","atkata","अटकता","अत्का","❌"
"59","atake","अटके","आतके","❌"
"60","atke","अटके","एतके","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवलल","❌"
"63","attahasa","अट्टहास","अत्थासा","❌"
"64","atthaas","अट्टहास","अत्हास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","अद्डों","❌"
"67","athak","अथक","आठक","❌"
"68","atharv","अथर्व","अथर्व","✅"
"69","atharva","अथर्व","अहर्व","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवात","❌"
"74","adwait","अद्वैत","अदवात","❌"
"75","advaitvaad","अद्वैतवाद","अद्ववाद्त","❌"
"76","advaitwad","अद्वैतवाद","अद्वववादत","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","आदवविस","❌"
"80","adhiik","अधीक","आधिक","❌"
"1","ank","अंक","एनकी","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अनकों","❌"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अनकोर","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंगर्जी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंत्रुच्य","❌"
"17","antmurkh","अंतर्मुख","अंत्रुच्","❌"
"18","antrmukh","अंतर्मुख","अंत्रुच्छ","❌"
"19","andrabee","अंद्राबी","अंदराबी","❌"
"20","andrabi","अंद्राबी","अंदराबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अमबानी","❌"
"26","akram","अकरम","अकररम","❌"
"27","acapulco","अकापुल्को","आकापूल्स","❌"
"28","akapulko","अकापुल्को","अकापूल्क","❌"
"29","akhand","अखंड","अखंंड","❌"
"30","akhil","अखिल","अखील","❌"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","आगस्टियों","❌"
